City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
95,sao filipe,14.8961,-24.4956,81.82,63,100,7.43,CV
96,grand gaube,-20.0064,57.6608,79.2,54,9,3.0,MU
97,umarkot,25.3616,69.7362,85.78,21,0,4.05,PK
98,okhotsk,59.3833,143.3,-1.61,76,8,10.18,RU
99,avarua,-21.2078,-159.775,73.45,88,75,8.05,CK
100,peace river,56.2501,-117.286,10.65,96,0,0.0,CA
101,chardara,41.2547,67.9692,57.99,37,100,16.6,KZ
102,kutum,14.2,24.6667,80.92,15,2,5.48,SD
103,los andes,-32.8337,-70.5983,68.02,47,1,3.38,CL
104,raudeberg,61.9875,5.1352,50.67,44,1,11.61,NO
105,mana,5.6592,-53.7767,82.4,71,79,7.27,GF
106,trairi,-3.2778,-39.2689,86.13,54,26,12.21,BR
107,flic en flac,-20.2742,57.3631,79.36,60,13,5.7,MU
108,lahat,-3.8,103.5333,76.17,87,95,3.13,ID
109,carnarvon,-24.8667,113.6333,65.23,54,4,23.29,AU
110,terney,45.0503,136.6092,32.88,81,12,9.86,RU
111,salinopolis,-0.6136,-47.3561,83.14,67,84,10.49,BR
112,nzerekore,7.7562,-8.8179,87.01,27,21,4.18,GN
113,severo-kurilsk,50.6789,156.125,33.19,71,87,17.18,RU
114,lakatoro,-16.0999,167.4164,81.27,78,39,3.47,VU
115,abu samrah,35.3029,37.1841,67.96,42,9,6.17,SY
116,vilyuysk,63.7553,121.6247,-29.88,100,20,3.06,RU
117,new norfolk,-42.7826,147.0587,54.9,69,76,1.01,AU
118,clyde river,70.4692,-68.5914,-1.97,78,100,8.05,CA
119,misratah,32.3754,15.0925,75.07,45,0,6.31,LY
120,saint-georges,12.0564,-61.7485,80.28,83,20,11.5,GD
121,iqaluit,63.7506,-68.5145,13.73,79,100,8.05,CA
122,buarcos,40.166,-8.8768,59.67,63,13,17.25,PT
123,georgetown,5.4112,100.3354,85.95,78,20,13.8,MY
124,san cristobal,7.7669,-72.225,66.38,85,100,2.95,VE
125,peniche,39.3558,-9.3811,64.29,70,6,20.31,PT
126,carutapera,-1.195,-46.02,84.38,64,53,8.88,BR
127,la ronge,55.1001,-105.2842,21.45,63,75,14.97,CA
128,waingapu,-9.6567,120.2641,78.94,80,100,10.2,ID
129,ossora,59.2353,163.0719,18.82,68,32,13.06,RU
130,tucuman,-26.8241,-65.2226,73.4,60,6,4.61,AR
131,nikolskoye,59.7035,30.7861,28.29,57,7,8.48,RU
132,cayenne,4.9333,-52.3333,80.64,83,0,0.0,GF
133,codrington,-38.2667,141.9667,63.7,55,100,9.66,AU
134,pisco,-13.7,-76.2167,57.25,88,94,2.3,PE
135,torbay,47.6666,-52.7314,38.5,85,40,29.93,CA
136,isangel,-19.55,169.2667,77.76,84,35,4.92,VU
137,sitka,57.0531,-135.33,39.09,81,0,9.22,US
138,dikson,73.5069,80.5464,-4.67,94,100,25.7,RU
139,shellbrook,53.2168,-106.4011,18.63,77,100,15.59,CA
140,provideniya,64.3833,-173.3,27.23,97,96,0.85,RU
141,tabuk,17.4189,121.4443,75.52,84,61,3.87,PH
142,berlevag,70.8578,29.0864,35.4,86,0,14.97,NO
143,inuvik,68.3499,-133.7218,27.61,58,40,3.44,CA
144,atuona,-9.8,-139.0333,76.78,76,23,10.76,PF
145,zelenoborskiy,66.845,32.3622,33.26,88,99,3.67,RU
146,faya,18.3851,42.4509,75.31,57,6,9.75,SA
147,saint-philippe,-21.3585,55.7679,78.39,66,22,6.55,RE
148,jinan,36.6683,116.9972,58.39,46,100,3.94,CN
149,talegaon dabhade,18.7167,73.6833,74.88,35,1,5.39,IN
150,rafai,4.95,23.9167,92.41,26,75,4.27,CF
151,tautira,-17.7333,-149.15,75.25,88,75,8.25,PF
152,gravdal,68.1214,13.5031,35.49,64,0,2.3,NO
153,cherskiy,68.75,161.3,-33.3,100,81,5.37,RU
154,san carlos,9.6612,-68.5827,71.98,99,100,1.88,VE
155,bengkulu,-3.8004,102.2655,77.05,89,72,8.48,ID
156,poum,-20.2333,164.0167,77.86,76,77,17.38,NC
157,bheramara,24.0232,88.9925,74.48,50,9,7.58,BD
158,laguna,38.421,-121.4238,52.02,97,0,4.61,US
